Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24,lower,higher
Colombia,Doctoral degree,Student,5-10 years,Python,R,SQL,C,,,Javascript,,,,MATLAB,,Other,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
United States of America,Master’s degree,Data Engineer,5-10 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,100000-124999,100000.0,124999.0
Argentina,Bachelor’s degree,Software Engineer,10-20 years,,,,,,Java,Javascript,,,Bash,,,,R,,,,,,,,,,,,,15000-19999,15000.0,19999.0
United States of America,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,125000-149999,125000.0,149999.0
Japan,Master’s degree,Software Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Data Analyst,< 1 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Brazil,Bachelor’s degree,Student,3-5 years,Python,R,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,,,
China,Master’s degree,Student,< 1 years,,R,,,,,,,,,,,,R,,,,,,,Convolutional Neural Networks,,,,,,,,
Germany,Doctoral degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,Bash,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,70000-79999,70000.0,79999.0
China,No formal education past high school,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,R,SQL,C,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
United States of America,Doctoral degree,Research Scientist,1-2 years,,R,,,,,,,,,,,,R,Linear or Logistic Regression,,,,,,,,,,,,30000-39999,30000.0,39999.0
Indonesia,Bachelor’s degree,Student,< 1 years,Python,R,SQL,,,,,,,,MATLAB,,,R,,,,,,,,,,,None,,,,
Canada,Bachelor’s degree,Data Engineer,< 1 years,Python,,SQL,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,90000-99999,90000.0,99999.0
Switzerland,Bachelor’s degree,Other,< 1 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,70000-79999,70000.0,79999.0
India,Bachelor’s degree,Student,1-2 years,,R,SQL,,,,,,,,,,,R,,,,,,,,,,,,,,,
Other,Bachelor’s degree,Currently not employed,3-5 years,,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Singapore,Bachelor’s degree,Student,3-5 years,Python,,,,,Java,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,C++,,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,,,Java,Javascript,,,,,,,C++,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,,,
